project,rm,ed,category
AxonFramework,79.1666666667,0.2801774457,Non-web libraries and frameworks
liquibase,78.75,0.8088978766,System Software
operaprestodriver,78.5714285714,0.0647249191,Non-web libraries and frameworks
nifty-gui,78,0.4975619465,Non-web libraries and frameworks
frames,77.7777777778,2.7777777778,Non-web libraries and frameworks
restlet-framework-java,77.7777777778,0.09447827,Non-web libraries and frameworks
asterisk-java,77.5510204082,0.7433252427,Non-web libraries and frameworks
calabash-android,77.3195876289,2.0918697434,Software tools
ps3mediaserver,76.5853658537,5.9128929911,System Software
slf4j,76.4705882353,0.7685352622,Software tools
jnr-ffi,76.4705882353,0.3683640303,Non-web libraries and frameworks
xwiki-platform,76.1310452418,1.8209709951,Non-web libraries and frameworks
fanfoudroid,75.8620689655,1.0776662951,Application
Resteasy,75,0.1983705278,Non-web libraries and frameworks
curator-apache,75,0.2005615724,Non-web libraries and frameworks
android-utils,75,1.8779342723,Non-web libraries and frameworks
JSONassert,75,1.3745704467,Non-web libraries and frameworks
crawljax,75,0.1814882033,Application
avaje-ebeanorm,75,0.0234604106,Non-web libraries and frameworks
legacy-jclouds,74.5283018868,0.2230733617,Web libraries and frameworks
openmrs-core,73.7354085603,5.3369328211,Web libraries and frameworks
vaadin,73.2899022801,1.5605144106,Non-web libraries and frameworks
opennlp,73.1707317073,2.2226237803,Non-web libraries and frameworks
github-plugin,72.7272727273,2.1825396825,Application
rest-assured,72.7272727273,0.2619047619,Web libraries and frameworks
igv,72.7272727273,0.0697836706,Application
xtext,72.1223021583,0.1683420128,Non-web libraries and frameworks
tomcat70,72.1052631579,1.8490884318,System Software
ngrinder,71.4285714286,0.3611039464,Application
rstudio,71.4285714286,0.0313003041,Application
Ektorp,71.4285714286,0.251527129,Non-web libraries and frameworks
quickfixj,71.4285714286,0.1765002521,Non-web libraries and frameworks
antlr4,70.9677419355,0.4070912672,Software tools
sling,70.8695652174,0.6135623966,Web libraries and frameworks
javassist,70,0.134589502,Software tools
bigbluebutton,70,0.0817661488,Application
geotools,69.7132616487,0.3903899702,Non-web libraries and frameworks
tomcat,69.6721311475,0.3466894004,System Software
UniversalMediaServer,69.2607003891,4.2103538663,Application
wicket,69.2307692308,0.2047244094,Web libraries and frameworks
proctor,69.2307692308,1.0664479081,Non-web libraries and frameworks
i2p.i2p,68.9781021898,1.405056151,System Software
selenium,68.1818181818,0.1862670392,Non-web libraries and frameworks
citrus,68.1818181818,0.1230906955,Web libraries and frameworks
WorldEdit,68.0722891566,2.6900016205,Application
browsermob-proxy,68,0.66693344,Software tools
liferay-plugins,66.6666666667,0.8413347276,Application
PayPal-Java-SDK,66.6666666667,0.7784625365,Non-web libraries and frameworks
vraptor,66.6666666667,0.2504696306,Web libraries and frameworks
sshj,66.6666666667,0.3894418001,Non-web libraries and frameworks
capsule,66.6666666667,1.0856453559,Software tools
picard,66.6666666667,0.1129943503,System Software
gs-core,66.6666666667,0.0878220141,Non-web libraries and frameworks
slice,66.6666666667,0.3448275862,Non-web libraries and frameworks
cube-sdk,66.6666666667,0.1734104046,Non-web libraries and frameworks
Minecraft-Server-Mod,66.6666666667,0.1567398119,System Software
btrace,66.6666666667,0.0855188141,System Software
AntennaPod,66.6666666667,0.0605326877,Application
mycollab,66.6666666667,0.0081380208,Non-web libraries and frameworks
elasticsearch-analysis-icu,66.6666666667,3.1578947368,Application
ImageViewEx,66.6666666667,1.4851485149,Non-web libraries and frameworks
ormlite-android,66.6666666667,0.9771986971,Non-web libraries and frameworks
jmxtrans,66.6666666667,0.2742230347,Application
transdroid,66.6666666667,0.1210165389,Application
spring-social-facebook,66.6666666667,0.1120238984,Non-web libraries and frameworks
structr,66.6666666667,0.0288156757,Non-web libraries and frameworks
tika,65.2173913043,1.2472885033,Non-web libraries and frameworks
gridgain,65.1376146789,0.2057108347,Non-web libraries and frameworks
incubator-brooklyn,65.1162790698,1.8964811139,System Software
spring-roo,64.9122807018,0.7485226527,Non-web libraries and frameworks
aws-sdk-java,64.8648648649,0.2943984723,Non-web libraries and frameworks
ceylon-compiler,64.7058823529,0.6291247764,System Software
eureka,64.2857142857,1.2797074954,Software tools
erlide,64.2857142857,0.0996583144,Software tools
optiq,64.2857142857,0.0865426222,System Software
soapui,63.6363636364,0.1569186876,Non-web libraries and frameworks
xtreemfs,63.6363636364,0.0471334305,System Software
hbase,63.612565445,0.4322929634,System Software
voltdb,62.8048780488,0.2929356078,Software tools
Multiverse-Core,62.7906976744,2.9573590096,Non-web libraries and frameworks
wro4j,62.5,0.1509718815,Web libraries and frameworks
rest-driver,62.5,0.6938421509,Non-web libraries and frameworks
bytecode-viewer,62.0689655172,0.9749537737,Software tools
cas,61.9047619048,1.2768544791,Web libraries and frameworks
wonder,61.801242236,0.7290015848,Non-web libraries and frameworks
selenide,61.5384615385,2.0265003897,Non-web libraries and frameworks
XChange,61.5384615385,0.0894392845,Non-web libraries and frameworks
pig,61.4864864865,0.6644518272,Software tools
WorldGuard,61.1111111111,1.261829653,Application
accumulo,60.7407407407,0.5738454018,System Software
jmonkeyengine,60.396039604,0.3438063791,Software tools
jdom,60,0.6662859318,Non-web libraries and frameworks
github-api,60,1.9867549669,Non-web libraries and frameworks
concourse,60,0.0322299932,System Software
jzmq,60,1.7301038062,Software tools
RichTextFX,60,0.6234413965,Non-web libraries and frameworks
nutch,60,0.12300123,Application
sqlite-jdbc,60,0.2850627138,Non-web libraries and frameworks
stratosphere,59.5744680851,0.2752239855,Non-web libraries and frameworks
pad,59.0909090909,1.4715719064,Software tools
mondrian,59.0909090909,0.2167487685,Application
osmosis,58.5365853659,0.6835611871,System Software
fab,58.3333333333,4.5801526718,Non-web libraries and frameworks
