project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
Applied-Energistics-2;git://github.com/AppliedEnergistics/Applied-Energistics-2.git;256;83;33;117;23405;47;1646;6;601;127.872.340.426;2336;498.787.878.788;3.272.424.242.424;1670;10799;1;1;1129;7;6;8000;18;15;10799;26;22;846.153.846.154;0.2407630336;122.25;67.836.666.666.667;1.367.070.707.071;1.885.606.060.606;601;15.664.368.686.869;Application
servo;git://github.com/Netflix/servo.git;702;267;22;142;9296;70;256;4;1335;190.714.285.714;1124;116.363.636.364;777.272.727.273;74;1710;0;0;248;1;1;1388;12;10;1710;13;11;846.153.846.154;0.7602339181;283.25;5103;371.212.121.212;446.818.181.818;1335;13.606.106.060.606;Application
spring-data-commons;git://github.com/spring-projects/spring-data-commons.git;155;86;30;134;13005;67;594;18;1896;282.985.074.627;1009;19.8;174;546;5220;0;0;945;3;1;3729;10;10;5220;13;11;846.153.846.154;0.2490421456;101.25;690.993.333.333.333;74.6;96.9;1896;142.536.166.666.667;Software tools
jmeter;git://github.com/apache/jmeter.git;237;60;4;148;199571;77;2507;25;6195;804.545.454.545;11264;626.75;3123.75;995;12495;0;0;1160;3;3;10340;42;35;12495;45;38;844.444.444.444;0.3601440576;112.25;20913;1251.5;1875.25;6195;6069.4;Application
zookeeper;git://github.com/apache/zookeeper.git;1075;211;8;784;49099;59;1145;9;2634;446.440.677.966;1361;143125;926.25;1188;7410;24;22;877;4;1;5345;4;4;7410;32;27;84375;0.4318488529;519.5;185.383.333.333.333;359125;5.346.875;2634;45.171.291.666.667;Software tools
jPOS;git://github.com/jpos/jPOS.git;146;42;26;152;46995;41;1210;6;6128;1.494.634.146.341;3832;465.384.615.385;4.219.615.384.615;1165;10971;1;1;962;6;5;8844;12;10;10971;19;16;842.105.263.158;0.1731838483;91.5;71.466.666.666.667;1.648.333.333.333;234.25;6128;2753.05;Application
thymeleaf;git://github.com/thymeleaf/thymeleaf.git;364;67;11;89;10039;35;430;8;1329;379.714.285.714;967;390.909.090.909;3.763.636.363.636;394;4140;0;0;459;1;1;3287;24;20;4140;25;21;84;0.6038647343;132.75;4980;1.421.515.151.515;2.077.272.727.273;1329;13.583.257.575.758;Web libraries and frameworks
restfb;git://github.com/restfb/restfb.git;296;60;24;150;10425;19;375;3;2004;1.054.736.842.105;678;15625;781.666.666.667;144;1876;0;0;328;4;4;1404;20;16;1876;24;20;833.333.333.333;12.793.176.972;132.5;47.773.333.333.333;392.638.888.889;468.958.333.333;2004;13.999.986.111.111;Non-web libraries and frameworks
spring-data-rest;git://github.com/spring-projects/spring-data-rest.git;305;106;28;186;12069;34;387;27;1261;370.882.352.941;652;138.214.285.714;976.071.428.571;338;2733;0;0;455;2;0;1940;10;10;2733;12;10;833.333.333.333;0.4390779363;156.25;137.996.666.666.667;464.761.904.762;557.142.857.143;1261;30.638.214.285.714;Non-web libraries and frameworks
platform_frameworks_support;git://github.com/android/platform_frameworks_support.git;556;89;42;349;37011;120;1655;45;1656;13.8;9698;394.047.619.048;485.119.047.619;2473;20375;6;3;1587;8;7;16315;104;88;20375;118;98;830.508.474.576;0.5791411043;259;221.486.666.666.667;1.888.412.698.413;2.622.619.047.619;1656;4.902.953.968.254;Non-web libraries and frameworks
openwayback;git://github.com/iipc/openwayback.git;112;39;24;76;45226;7;845;12;3586;5.122.857.142.857;3087;352.083.333.333;250.5;1073;6012;0;0;695;22;19;4244;46;37;6012;68;56;823.529.411.765;1.131.071.191;62.75;64428;1.032.361.111.111;1.428.541.666.667;3586;136.645.680.555.556;Software tools
soot;git://github.com/Sable/soot.git;311;51;45;138;183275;23;3997;55;6798;2.955.652.173.913;4214;888.222.222.222;10.301.555.555.556;5339;46357;0;0;4059;20;15;36959;14;13;46357;34;28;823.529.411.765;0.0733438316;136.25;332761;3.879.925.925.926;5.594.888.888.889;6798;681.285.462.962.963;Non-web libraries and frameworks
OG-Platform;git://github.com/OpenGamma/OG-Platform.git;223;51;41;143;937089;203;14837;251;2177;10.724.137.931;32674;3.618.780.487.805;35.618.048.780.488;5996;146034;16;16;14596;569;438;125442;409;361;146034;994;815;819.919.517.103;0.6806634072;114.5;187.441.333.333.333;13.215.609.756.098;19.618.414.634.146;2177;386.032.471.544.715;Software tools
grails-core;git://github.com/grails/grails-core.git;1445;171;200;699;414029;89;2261;154;3699;415.617.977.528;16277;11305;51045;1257;10209;1;1;895;31;30;8057;67;50;10209;99;81;818.181.818.182;0.9697325889;628.75;83.046.666.666.667;87.45;31175;3699;25.502.083.333.333;Web libraries and frameworks
mapdb;git://github.com/jankotek/mapdb.git;1545;220;24;393;14464;41;241;4;1099;268.048.780.488;1512;100.416.666.667;2.668.333.333.333;1146;6404;2;2;467;1;0;4791;51;42;6404;54;44;814.814.814.815;0.8432229856;545.5;263276;1.002.916.666.667;1.384.375;1099;530.318.458.333.333;System Software
Openfire;git://github.com/igniterealtime/Openfire.git;526;118;50;391;775974;133;7450;5;3954;297.293.233.083;6624;149;434.92;1715;21746;2;2;1913;7;7;18118;34;26;21746;43;35;813.953.488.372;0.1977375149;271.25;723.566.666.666.667;2.113.066.666.667;291.96;3954;154.170.366.666.667;System Software
jclouds;git://github.com/jclouds/jclouds.git;197;49;200;301;189447;94;5877;19;2322;247.021.276.596;9437;29385;231085;5238;46217;2;1;6172;18;13;34807;125;104;46217;145;118;813.793.103.448;0.3137373694;186.75;504.646.666.666.667;153.49;130235;2322;106.514.283.333.333;Software tools
EhViewer;git://github.com/seven332/EhViewer.git;232;35;1;42;104633;39;544;4;206;52.820.512.821;320;544;6977;1113;6977;1;0;599;1;0;5265;14;13;6977;16;13;81.25;0.2293249248;77.5;140.840.333.333.333;25.073.333.333.333;3760.5;206;294.783.333.333.333;Application
GWTP;git://github.com/ArcBees/GWTP.git;279;61;41;101;414879;28;665;9;1993;711.785.714.286;2059;162.195.121.951;897.804.878.049;222;3681;0;0;662;18;17;2797;29;21;3681;47;38;808.510.638.298;12.768.269.492;120.5;170.226.666.666.667;49;53;1993;38.476.333.333.333;Web libraries and frameworks
mongo-java-driver;git://github.com/mongodb/mongo-java-driver.git;1308;184;77;815;45782;94;1605;12;2411;256.489.361.702;5305;208.441.558.442;1.289.480.519.481;201;9929;1;1;1024;2;2;8704;44;35;9929;47;38;808.510.638.298;0.4733608621;596;470.346.666.666.667;755.974.025.974;748.961.038.961;2411;10.038.432.034.632;Non-web libraries and frameworks
hudson;git://github.com/kohsuke/hudson.git;345;45;400;2068;120559;68;10616;4;3064;450.588.235.294;20473;26.54;41155;1443;16462;68;55;2219;42;38;12800;389;310;16462;499;403;807.615.230.461;30.312.234.236;714.5;120121;1.558.983.333.333;338.475;3064;248.178.491.666.667;Software tools
gwt;git://github.com/gwtproject/gwt.git;426;130;57;94;332650;57;11251;4;3180;557.894.736.842;8523;1.973.859.649.123;16.622.631.578.947;4335;94749;21;20;10543;104;92;79871;451;351;94749;576;463;803.819.444.444;0.6079219833;176.75;317.493.333.333.333;6.388.830.409.357;9.298.245.614.035;3180;73.349.581.871.345;Software tools
cursor-utils;git://github.com/venmo/cursor-utils.git;180;45;5;9;463;3;36;2;236;786.666.666.667;41;7.2;46.4;8;232;0;0;20;0;0;204;10;8;232;10;8;80;43.103.448.276;59.75;2685;195.333.333.333;26.8;236;6.054.166.666.667;Non-web libraries and frameworks
Java-Thread-Affinity;git://github.com/OpenHFT/Java-Thread-Affinity.git;147;50;8;54;7758;16;65;3;662;41375;161;8125;56625;40;453;0;0;44;1;0;369;4;4;453;5;4;80;11.037.527.594;64.75;64.626.666.666.667;24.25;32375;662;14.492.083.333.333;Application
gnucash-android;git://github.com/codinguser/gnucash-android.git;351;62;26;194;18536;64;399;6;1186;1.853.125;856;153.461.538.462;611.923.076.923;352;1591;5;4;127;0;0;1112;0;0;1591;5;4;80;0.3142677561;158.25;87926;341.794.871.795;382.692.307.692;1186;178.685.397.435.897;Application
subsonic;git://github.com/EugeneKay/subsonic.git;185;45;4;53;261413;10;774;5;1120;112;3017;193.5;915.5;388;3662;0;0;281;0;0;2993;5;4;3662;5;4;80;0.1365374113;71.75;489.953.333.333.333;371;554.5;1120;102.225.166.666.667;Application
Subsonic;git://github.com/daneren2005/Subsonic.git;125;25;12;51;142550;78;774;5;1120;14.358.974.359;3017;64.5;3.051.666.666.667;388;3662;0;0;281;0;0;2993;5;4;3662;5;4;80;0.1365374113;53.25;109.153.333.333.333;1.272.222.222.222;1.848.333.333.333;1120;24.801.277.777.778;Non-web libraries and frameworks
AxonFramework;git://github.com/AxonFramework/AxonFramework.git;289;55;37;121;27575;49;1509;13;1994;40.693.877.551;1794;407.837.837.838;2.315.135.135.135;75;8566;0;0;1508;2;1;6983;22;18;8566;24;19;791.666.666.667;0.2801774457;125.5;49215;1.030.990.990.991;1.361.486.486.486;1994;103.147.495.495.495;Non-web libraries and frameworks
liquibase;git://github.com/liquibase/liquibase.git;759;82;200;526;136858;82;2221;26;2307;281.341.463.415;4592;11105;49.45;381;9890;1;1;1192;6;5;8317;73;57;9890;80;63;78.75;0.8088978766;391.75;513.116.666.666.667;868.516.666.667;302.775;2307;108.255.091.666.667;System Software
operaprestodriver;git://github.com/operasoftware/operaprestodriver.git;126;42;18;52;143590;168;455;10;1743;10375;3320;252.777.777.778;12.016.666.666.667;1021;21630;0;0;903;0;0;19706;14;11;21630;14;11;785.714.285.714;0.0647249191;59.5;34093;4.149.814.814.815;6.134.722.222.222;1743;73.847.907.407.407;Non-web libraries and frameworks
playn;git://github.com/threerings/playn.git;200;47;29;69;80114;20;535;3;1670;83.5;1877;184.482.758.621;2.812.068.965.517;1120;8155;0;0;557;2;2;6478;30;23;8155;32;25;78125;0.3923973023;86.25;225.923.333.333.333;1.095.517.241.379;1.498.275.862.069;1670;49.215.925.287.356;Non-web libraries and frameworks
nifty-gui;git://github.com/void256/nifty-gui.git;118;32;21;48;58106;4;1516;6;2686;671.5;2416;721.904.761.905;4.785.238.095.238;284;10049;2;2;1131;30;26;8634;18;11;10049;50;39;78;0.4975619465;54.75;5691;1.905.714.285.714;2.753.571.428.571;2686;17.795.357.142.857;Non-web libraries and frameworks
frames;git://github.com/tinkerpop/frames.git;136;33;10;37;6900;15;124;3;1320;88;265;12.4;64.8;19;648;0;0;108;1;1;521;17;13;648;18;14;777.777.777.778;27.777.777.778;54;173715;290.666.666.667;38.6;1320;350.313.333.333.333;Non-web libraries and frameworks
restlet-framework-java;git://github.com/restlet/restlet-framework-java.git;310;75;32;164;516787;79;3710;12;3530;446.835.443.038;8516;1.159.375;595375;1037;19052;2;1;2305;2;0;15710;14;13;19052;18;14;777.777.777.778;0.09447827;145.25;129.936.666.666.667;2.477.708.333.333;35.565.625;3530;345.446.875;Non-web libraries and frameworks
asterisk-java;git://github.com/asterisk-java/asterisk-java.git;149;43;28;122;19260;8;669;7;3457;432125;1277;238.928.571.429;2.354.285.714.286;388;6592;0;0;597;6;6;5607;43;32;6592;49;38;775.510.204.082;0.7433252427;85.5;19535;957.738.095.238;1.296.607.142.857;3457;46.605.869.047.619;Non-web libraries and frameworks
calabash-android;git://github.com/calabash/calabash-android.git;952;139;58;443;51294;76;719;32;1276;167.894.736.842;1418;123.965.517.241;1.598.965.517.241;1551;9274;6;6;768;46;43;6955;142;101;9274;194;150;773.195.876.289;20.918.697.434;398;159.436.666.666.667;767.643.678.161;861.465.517.241;1276;35.561.155.172.414;Software tools
ps3mediaserver;git://github.com/ps3mediaserver/ps3mediaserver.git;396;81;28;203;37620;31;937;4;2155;695.161.290.323;2356;334.642.857.143;1.238.214.285.714;341;3467;89;82;251;5;4;2875;111;71;3467;205;157;765.853.658.537;59.128.929.911;177;56.033.333.333.333;617.619.047.619;786.428.571.429;2155;16.151.476.190.476;System Software
slf4j;git://github.com/qos-ch/slf4j.git;370;48;37;221;12945;42;398;5;3731;888.333.333.333;1330;107.567.567.568;597.837.837.838;384;2212;6;6;234;0;0;1594;11;7;2212;17;13;764.705.882.353;0.7685352622;169;32.083.333.333.333;358.468.468.468;352.702.702.703;3731;14.358.900.900.901;Software tools
jnr-ffi;git://github.com/jnr/jnr-ffi.git;169;23;15;30;7090;46;323;7;2481;539.347.826.087;792;215.333.333.333;3.076.666.666.667;562;4615;0;0;666;1;1;3387;16;12;4615;17;13;764.705.882.353;0.3683640303;59.25;248.328.666.666.667;1.147.333.333.333;164.6;2481;50229.65;Non-web libraries and frameworks
xwiki-platform;git://github.com/xwiki/xwiki-platform.git;122;32;49;154;731011;1248;9360;41;3233;25.905.448.718;29208;1.910.204.081.633;718.387.755.102;3184;35201;16;6;4385;164;103;27632;461;379;35201;641;488;761.310.452.418;18.209.709.951;89.25;14647;3.194.693.877.551;4.547.040.816.327;3233;37.486.846.938.776;Non-web libraries and frameworks
fanfoudroid;git://github.com/fanfoudroid/fanfoudroid.git;341;81;5;201;8179;11;561;10;1106;1.005.454.545.455;578;112.2;538.2;472;2691;1;0;231;1;1;1988;27;21;2691;29;22;758.620.689.655;10.776.662.951;157;220.106.666.666.667;2.184.666.666.667;325.2;1106;47.634.666.666.667;Application
Resteasy;git://github.com/resteasy/Resteasy.git;327;59;71;476;59456;116;3885;7;3099;267.155.172.414;2693;547.183.098.592;3.976.056.338.028;2943;28230;0;0;4144;39;35;21143;17;7;28230;56;42;75;0.1983705278;233.25;163.233.333.333.333;174.441.314.554;226.161.971.831;3099;40.112.373.239.437;Non-web libraries and frameworks
curator-apache;git://github.com/apache/curator.git;207;43;38;136;20153;87;587;145;1499;172.298.850.575;1683;154.473.684.211;2.624.210.526.316;547;9972;0;0;1121;4;4;8304;16;11;9972;20;15;75;0.2005615724;106;40.026.666.666.667;1.052.894.736.842;1.389.342.105.263;1499;11.703.780.701.754;Non-web libraries and frameworks
android-utils;git://github.com/jaydeepw/android-utils.git;160;13;2;25;1996;3;40;4;167;556.666.666.667;24;20;106.5;70;213;1;0;11;1;1;132;2;2;213;4;3;75;18.779.342.723;50;4.886.666.666.667;428.333.333.333;63.25;167;162.35;Non-web libraries and frameworks
JSONassert;git://github.com/skyscreamer/JSONassert.git;144;22;10;47;1216;8;37;5;1255;156875;150;3.7;29.1;7;291;0;0;28;0;0;256;4;3;291;4;3;75;13.745.704.467;55.75;565.983.333.333.333;142.666.666.667;16.4;1255;11587.95;Non-web libraries and frameworks
crawljax;git://github.com/crawljax/crawljax.git;240;63;30;130;169048;18;456;11;2806;1.558.888.888.889;1447;15.2;734.666.666.667;97;2204;0;0;274;1;1;1833;3;2;2204;4;3;75;0.1814882033;115.75;68.426.666.666.667;395.555.555.556;443.333.333.333;2806;19.696.611.111.111;Application
avaje-ebeanorm;git://github.com/ebean-orm/avaje-ebeanorm.git;184;34;25;84;16515;52;1809;9;1072;206.153.846.154;975;72.36;682;1492;17050;0;0;1849;0;0;13709;4;3;17050;4;3;75;0.0234604106;81.75;60000;2.597.866.666.667;377.18;1072;123.581.433.333.333;Non-web libraries and frameworks
legacy-jclouds;git://github.com/jclouds/legacy-jclouds.git;508;37;88;237;156500;63;6450;17;1476;234.285.714.286;8047;732.954.545.455;5.399.772.727.273;5638;47518;0;0;6584;66;62;35296;40;17;47518;106;79;745.283.018.868;0.2230733617;217.5;106634;2.337.575.757.576;3.066.363.636.364;1476;217.735.787.878.788;Web libraries and frameworks
openmrs-core;git://github.com/openmrs/openmrs-core.git;226;81;200;1138;269410;101;2974;29;3394;33.603.960.396;9319;14.87;96.31;2135;19262;258;66;1503;32;32;15624;738;660;19262;1028;758;737.354.085.603;53.369.328.211;411.25;482.923.333.333.333;1.037.266.666.667;55.59;3394;10451.38;Web libraries and frameworks
vaadin;git://github.com/vaadin/vaadin.git;439;104;68;208;119620;93;5995;13;3236;347.956.989.247;15918;881.617.647.059;5.786.176.470.588;3105;39346;154;80;5213;46;27;31028;414;343;39346;614;450;732.899.022.801;15.605.144.106;204.75;17792;2.449.264.705.882;3.333.897.058.824;3236;43.622.132.352.941;Non-web libraries and frameworks
opennlp;git://github.com/apache/opennlp.git;129;21;4;44;13135;24;895;3;1714;714.166.666.667;1302;223.75;1383.5;410;5534;1;1;896;7;4;4228;115;85;5534;123;90;731.707.317.073;22.226.237.803;49.5;2341;5.370.833.333.333;803625;1714;10.890.416.666.667;Non-web libraries and frameworks
github-plugin;git://github.com/jenkinsci/github-plugin.git;119;171;32;152;1397;30;92;3;2261;753.666.666.667;299;2875;15.75;48;504;0;0;71;1;1;385;10;7;504;11;8;727.272.727.273;21.825.396.825;118.5;43.646.666.666.667;16875;93.125;2261;13.540.708.333.333;Application
rest-assured;git://github.com/jayway/rest-assured.git;464;42;17;150;12117;40;473;6;1762;44.05;1266;278.235.294.118;2.470.588.235.294;126;4200;3;0;332;0;0;3742;8;8;4200;11;8;727.272.727.273;0.2619047619;168.25;127.958.666.666.667;972.941.176.471;1.374.411.764.706;1762;260.247.303.921.569;Web libraries and frameworks
igv;git://github.com/igvteam/igv.git;140;39;18;63;377846;71;1830;10;1726;243.098.591.549;4859;1.016.666.666.667;8.757.222.222.222;2579;15763;0;0;1386;7;6;11798;4;2;15763;11;8;727.272.727.273;0.0697836706;65;284.207.333.333.333;3.317.962.962.963;4.886.944.444.444;1726;573.637.648.148.148;Application
xtext;git://github.com/eclipse/xtext.git;158;21;33;80;812810;64;24049;29;2660;415.625;19795;7.287.575.757.576;100.084.848.484.848;80033;330280;28;5;23259;104;75;226988;424;321;330280;556;401;721.223.021.583;0.1683420128;73;129.512.333.333.333;35.900.808.080.808;53.686.212.121.212;2660;282.408.070.707.071;Non-web libraries and frameworks
tomcat70;git://github.com/apache/tomcat70.git;184;42;9;145;55536;68;2721;2;3432;504.705.882.353;10360;3.023.333.333.333;34.251.111.111.111;4790;30826;95;80;2685;59;43;23351;416;288;30826;570;411;721.052.631.579;18.490.884.318;95;240.113.333.333.333;12.454.814.814.815;18.637.222.222.222;3432;61.295.074.074.074;System Software
ngrinder;git://github.com/naver/ngrinder.git;129;42;10;49;40335;33;873;19;1151;348.787.878.788;3604;87.3;387.7;313;3877;0;0;469;0;0;3095;14;10;3877;14;10;714.285.714.286;0.3611039464;57.5;142.100.666.666.667;1.616.666.666.667;237.5;1151;287.416.666.666.667;Application
rstudio;git://github.com/rstudio/rstudio.git;1087;117;29;235;418269;2084;4156;259;1718;0.8243761996;13536;1.433.103.448.276;7.711.724.137.931;1358;22364;0;0;2529;2;2;18477;5;3;22364;7;5;714.285.714.286;0.0313003041;367;84.863.333.333.333;3.144.942.528.736;4.572.413.793.103;1718;22.686.137.931.035;Application
Ektorp;git://github.com/helun/Ektorp.git;199;17;38;89;2778;8;317;3;1434;179.25;478;83.421.052.632;732.368.421.053;282;2783;0;0;295;2;1;2206;5;4;2783;7;5;714.285.714.286;0.251527129;85.75;15014;398.596.491.228;407.894.736.842;1434;33.228.798.245.614;Non-web libraries and frameworks
quickfixj;git://github.com/quickfix-j/quickfixj.git;101;36;13;75;41445;29;814;5;3790;1.306.896.551.724;1110;626.153.846.154;3.050.769.230.769;295;3966;0;0;381;0;0;3290;7;5;3966;7;5;714.285.714.286;0.1765002521;56.25;13973;1.268.974.358.974;1.838.461.538.462;3790;36.259.987.179.487;Non-web libraries and frameworks
antlr4;git://github.com/antlr/antlr4.git;873;129;38;264;36598;17;1355;3;2031;1.194.705.882.353;4338;356.578.947.368;2.003.947.368.421;1179;7615;5;3;606;1;0;5830;25;19;7615;31;22;709.677.419.355;0.4070912672;326;413.866.666.666.667;91.350.877.193;1.180.263.157.895;2031;87.906.087.719.298;Software tools
sling;git://github.com/apache/sling.git;112;23;14;136;110658;843;5887;7;2903;3.443.653.618;13663;420.5;26.775.714.285.714;3559;37486;57;49;4571;49;36;29356;124;78;37486;230;163;708.695.652.174;0.6135623966;71.25;177.796.666.666.667;10.373.571.428.572;15.490.357.142.857;2903;46.680.619.047.619;Web libraries and frameworks
javassist;git://github.com/jboss-javassist/javassist.git;344;60;6;101;15267;31;586;4;4495;145;698;976.666.666.667;12.383.333.333.333;1284;7430;0;0;857;0;0;5289;10;7;7430;10;7;70;0.134589502;127.75;147.093.333.333.333;4.473.333.333.333;668;4495;305.662.833.333.333;Software tools
bigbluebutton;git://github.com/bigbluebutton/bigbluebutton.git;1385;225;57;2689;429856;19;3994;91;2648;1.393.684.210.526;10864;700.701.754.386;2.145.614.035.088;3336;12230;1;1;1132;0;0;7762;9;6;12230;10;7;70;0.0817661488;1089;936.313.333.333.333;1.138.771.929.825;1.423.157.894.737;2648;195.249.052.631.579;Application
geotools;git://github.com/geotools/geotools.git;216;64;97;337;253559;58;15105;20;1665;287.068.965.517;4404;1.557.216.494.845;14.735.463.917.526;28711;142934;50;18;11381;77;63;102842;431;308;142934;558;389;697.132.616.487;0.3903899702;178.5;732.826.666.666.667;5.754.226.804.124;8.146.340.206.186;1665;153.032.446.735.395;Non-web libraries and frameworks
tomcat;git://github.com/apache/tomcat.git;570;169;9;443;73750;29;3164;2;3434;1.184.137.931.034;15491;3.515.555.555.556;3910;4403;35190;8;5;3152;17;10;27635;97;70;35190;122;85;696.721.311.475;0.3466894004;297.75;343.053.333.333.333;14.235.185.185.185;21.307.777.777.778;3434;83.182.759.259.259;System Software
