project,stars,whatchers,contributors,forks,size,category
rest-driver,111,13,12,33,6246,Non-web libraries and frameworks
bytecode-viewer,737,85,9,115,541801,Software tools
cas,814,132,57,621,541429,Web libraries and frameworks
wonder,181,60,58,143,331666,Non-web libraries and frameworks
selenide,174,47,12,60,17418,Non-web libraries and frameworks
XChange,474,80,70,310,35871,Non-web libraries and frameworks
pig,367,65,6,310,90323,Software tools
WorldGuard,323,47,40,294,11149,Application
accumulo,171,40,54,96,81697,System Software
jmonkeyengine,678,149,42,212,657130,Software tools
jdom,154,23,5,53,52267,Non-web libraries and frameworks
github-api,200,33,52,162,7943,Non-web libraries and frameworks
concourse,100,60,14,144,34193,System Software
jzmq,416,55,62,284,2618,Software tools
RichTextFX,109,26,5,34,3026,Non-web libraries and frameworks
nutch,398,90,5,333,132682,Application
sqlite-jdbc,113,21,13,34,125131,Non-web libraries and frameworks
stratosphere,186,37,41,87,109925,Non-web libraries and frameworks
pad,989,48,38,187,28012,Software tools
mondrian,300,113,42,273,332201,Application
osmosis,172,21,23,65,17238,System Software
fab,576,42,3,121,10607,Non-web libraries and frameworks
testng,498,97,70,362,30534,Non-web libraries and frameworks
effectivejava,338,23,3,22,14595,Software tools
rest.li,912,133,33,180,59965,Non-web libraries and frameworks
BoofCV,173,45,2,69,51712,Non-web libraries and frameworks
elasticsearch,12405,1263,500,3996,403678,Software tools
sonarqube,708,97,35,374,748653,Application
lenskit,322,63,18,147,28419,Application
ccnx,154,44,9,56,22371,Non-web libraries and frameworks
modeshape,141,19,46,147,160540,System Software
zeno,143,204,9,35,6306,Non-web libraries and frameworks
geppetto,195,24,9,15,18474,Software tools
OpenAtlas,343,46,3,114,34722,System Software
ofbiz,204,68,13,220,827687,Web libraries and frameworks
camel,606,117,200,781,294730,Non-web libraries and frameworks
kite,149,39,31,124,79045,Non-web libraries and frameworks
log4j,165,36,4,126,19172,Non-web libraries and frameworks
itextpdf,135,45,13,73,164003,Non-web libraries and frameworks
struts,238,54,14,248,108575,Web libraries and frameworks
activemq,314,91,36,300,70456,Application
griffon,119,14,12,38,520229,Non-web libraries and frameworks
bonecp,385,81,16,125,4443,Non-web libraries and frameworks
jena,149,44,11,122,455358,Non-web libraries and frameworks
jbehave-core,138,27,42,162,40142,Non-web libraries and frameworks
Pydev,232,38,23,187,102996,Application
mixpanel-android,169,41,14,117,31298,Non-web libraries and frameworks
Lealone,383,115,1,134,20802,Application
config,1455,113,26,217,6786,Non-web libraries and frameworks
twilio-java,168,76,32,138,11489,Non-web libraries and frameworks
thucydides,255,70,27,113,116248,Software tools
orbit,751,67,11,64,5714,Non-web libraries and frameworks
HugeCollections,268,62,11,51,11446,Non-web libraries and frameworks
errai,160,34,39,139,243529,Web libraries and frameworks
idea-php-laravel-plugin,134,16,2,11,509,Web libraries and frameworks
signpost,372,27,5,106,1809,Non-web libraries and frameworks
datacube,232,121,8,43,5118,System Software
hbc,514,240,16,175,4083,Non-web libraries and frameworks
stream-lib,1172,177,23,294,3488,Non-web libraries and frameworks
android-maps-utils,1031,137,23,469,5111,Non-web libraries and frameworks
wigle-wifi-wardriving,108,29,14,60,34961,Application
platform_packages_apps_contacts,210,30,31,181,50603,Non-web libraries and frameworks
brut.apktool,278,46,8,682,47220,Application
nodeclipse-1,107,15,6,59,14149,Application
GeoIP2-java,114,30,11,45,3806,Non-web libraries and frameworks
analytics-android,115,19,25,59,44134,Non-web libraries and frameworks
nginx-clojure,530,42,4,34,2327,Non-web libraries and frameworks
Kylin,511,95,23,227,124394,Software tools
incubator-kylin,103,23,25,65,130481,Software tools
BroadleafCommerce,549,153,43,550,413721,Non-web libraries and frameworks
avro,354,35,6,249,17458,Software tools
isis,165,38,19,99,648614,Non-web libraries and frameworks
zanata-server,111,26,14,30,241003,Application
flume-release,431,99,10,332,46025,Software tools
hydra,290,50,11,53,30230,Software tools
java-object-diff,214,26,11,60,4067,Non-web libraries and frameworks
mct,571,138,13,169,11080,Application
hibernate-search,149,35,36,108,68003,Software tools
denominator,189,209,12,51,6679,Software tools
jackson-databind,672,79,70,299,49378,Non-web libraries and frameworks
DataflowJavaSDK,340,98,41,100,6066,Software tools
HotswapAgent,233,52,8,49,2551,Software tools
mule,225,109,51,279,476258,Application
FML,422,149,52,230,26800,Application
autopsy,151,45,26,96,358886,Application
marytts,268,56,17,216,175067,Non-web libraries and frameworks
mockito,1498,132,56,342,93180,Non-web libraries and frameworks
aws-sdk-android,106,32,3,56,8351,Non-web libraries and frameworks
DSpace,172,71,82,418,211640,System Software
android-database-sqlcipher,593,74,12,224,72206,Non-web libraries and frameworks
gerrit-trigger-plugin,118,183,46,130,8045,Application
poi,104,21,0,99,133952,Application
owlapi,122,33,9,97,131663,Non-web libraries and frameworks
fred,175,46,59,82,154099,Application
spring-webflow,101,33,11,99,31422,Software tools
lucene-solr,1116,205,25,774,662977,Non-web libraries and frameworks
platform_packages_apps_email,106,18,29,99,53509,Non-web libraries and frameworks
spring-data-redis,223,84,22,168,15822,Non-web libraries and frameworks
Chronicle-Map,257,52,9,54,128988,Application
bndtools,152,35,20,66,439514,Application
GeoGig,283,74,28,75,40960,Application
material-dialogs,3584,257,36,665,135899,Non-web libraries and frameworks
sql2o,177,32,16,59,3239,Non-web libraries and frameworks
weave,108,63,6,23,41216,Software tools
SIREn,100,28,2,35,46386,Non-web libraries and frameworks
spring-data-solr,173,93,11,110,6672,Non-web libraries and frameworks
OpenGrok,621,87,31,143,17941,Software tools
gwt-maven-plugin,126,24,19,77,4223,Application
pentaho-platform,138,80,74,337,214332,Non-web libraries and frameworks
jetty.project,555,119,20,394,180872,Application
infinispan,394,62,89,300,156264,Software tools
camunda-bpm-platform,169,54,51,164,139679,Non-web libraries and frameworks
Mekanism,239,75,58,163,56987,Application
workflow-plugin,365,244,33,96,8355,Application
flink,567,102,200,372,2498939,Non-web libraries and frameworks
google-http-java-client,196,40,8,71,9174,Web libraries and frameworks
jbpm,391,147,62,549,71164,Application
robovm,1427,153,20,231,377118,Software tools
nd4j,189,42,21,103,116470,Non-web libraries and frameworks
fixflow,188,71,12,161,148309,Software tools
closure-compiler,1563,150,200,354,109503,Software tools
astyanax,755,312,50,314,23670,Web libraries and frameworks
spring-amqp,164,31,24,146,11092,Software tools
hadoop,928,318,49,1040,541392,Software tools
openstack-java-sdk,133,46,32,161,8103,Non-web libraries and frameworks
rabbitmq-java-client,120,30,23,79,40829,Web libraries and frameworks
AndroidCaldavSyncAdapater,205,42,6,83,6358,Non-web libraries and frameworks
UpdateChecker,493,34,21,88,32519,Non-web libraries and frameworks
governator,279,229,16,89,4364,Web libraries and frameworks
TestFX,161,45,18,41,3246,Non-web libraries and frameworks
androidclient,189,38,13,64,42696,Non-web libraries and frameworks
semantic-versioning,118,14,17,31,1735,Software tools
infovore,113,24,2,15,4385,Non-web libraries and frameworks
ehcache3,143,51,16,101,7246,Non-web libraries and frameworks
dcm4che,107,72,15,86,44729,Application
hibernate-validator,167,27,22,118,29094,Non-web libraries and frameworks
Web-Karma,121,63,23,62,147164,Application
cascading,271,36,10,182,21372,Non-web libraries and frameworks
fitnesse,639,99,74,352,84949,Non-web libraries and frameworks
PassAndroid,130,13,3,32,8720,Application
ioke,126,14,10,18,106604,System Software
SeriesGuide,858,109,6,285,119726,Application
cdk,179,71,12,88,47697,Non-web libraries and frameworks
parquet-mr,128,29,68,147,86492,Software tools
artemis-odb,152,28,15,27,5155,Non-web libraries and frameworks
ribbon,455,249,23,132,5396,Web libraries and frameworks
asciidoctorj,141,20,21,54,3628,Non-web libraries and frameworks
pentaho-kettle,289,133,73,403,607423,Software tools
Activiti,917,250,200,1092,105662,Software tools
jOOQ,861,91,28,210,227762,Software tools
eucalyptus,385,107,45,160,141739,System Software
jcommon,301,73,11,108,8562,Non-web libraries and frameworks
g4studio,162,53,2,210,144405,Application
ambari,221,86,41,257,233298,Software tools
blueprints,1106,107,44,256,16350,Non-web libraries and frameworks
XposedBridge,728,146,6,289,16180,Non-web libraries and frameworks
aws-toolkit-eclipse,131,50,9,66,130188,Application
opensearchserver,125,36,6,47,526614,Application
CloudStack-archive,282,27,30,87,377589,System Software
JGroups,346,59,44,202,67970,Non-web libraries and frameworks
unfolding,209,34,11,105,83899,Non-web libraries and frameworks
choco3,104,25,7,34,49576,Non-web libraries and frameworks
bitcoinj,498,96,54,468,32680,Non-web libraries and frameworks
CommandBook,127,25,15,97,3223,System Software
hector,666,64,69,316,41406,Non-web libraries and frameworks
spring-social,417,93,20,218,16143,Non-web libraries and frameworks
arquillian-core,160,22,42,110,8989,Software tools
less4j,103,15,9,29,17934,Software tools
gwt-bootstrap,416,69,48,192,120746,Web libraries and frameworks
ScreenSlicer,133,8,1,9,244816,Application
CircularReveal,777,37,8,158,1527,Application
jackson-dataformat-xml,110,16,12,51,4444,Non-web libraries and frameworks
