project,Popularity,Size,Community,Activity,Maturity,Repl. Msg (%),category
HugeCollections,98,83506.3333333333,91.3636363636,131.5454545455,540,50,Non-web libraries and frameworks
errai,93,8234.6666666667,255.4957264957,363.7435897436,2387,50,Web libraries and frameworks
idea-php-laravel-plugin,40.75,788.3333333333,88.3333333333,131.5,322,50,Web libraries and frameworks
signpost,127.5,1898.6666666667,39.6,56.9,2233,50,Non-web libraries and frameworks
datacube,101,1634.3333333333,36.625,50.9375,1016,50,System Software
hbc,236.25,1471.3333333333,25.0625,29.59375,699,50,Non-web libraries and frameworks
stream-lib,416.5,2061.6666666667,22.0144927536,21.5217391304,1575,50,Non-web libraries and frameworks
android-maps-utils,415,12098.6666666667,26.5507246377,28.3260869565,804,50,Non-web libraries and frameworks
wigle-wifi-wardriving,52.75,17473.3333333333,36.5714285714,47.8571428571,1980,50,Application
platform_packages_apps_contacts,113,16809.3333333333,47.7311827957,56.0967741935,2414,50,Non-web libraries and frameworks
brut.apktool,253.5,6968,173.4583333333,256.1875,1121,50,Application
nodeclipse-1,46.75,7214.6666666667,1160.3333333333,1737.5,1223,50,Application
GeoIP2-java,50,14872.6666666667,13.3333333333,14.5,832,50,Non-web libraries and frameworks
analytics-android,54.5,1505,35.6133333333,40.92,867,50,Non-web libraries and frameworks
nginx-clojure,152.5,43597,450,673,624,50,Non-web libraries and frameworks
Kylin,214,46465.6666666667,137.8985507246,195.347826087,448,50,Software tools
incubator-kylin,54,141569,132.5733333333,186.36,434,50,Software tools
BroadleafCommerce,323.75,15015,238.8372093023,336.7558139535,2408,49.2204899777,Non-web libraries and frameworks
avro,161,221808,542.1666666667,810.25,2315,49.1803278689,Software tools
isis,80.25,94669.3333333333,869.7894736842,1295.1842105263,4034,48.3050847458,Non-web libraries and frameworks
zanata-server,45.25,20907.6666666667,440.3095238095,653.4642857143,1671,47.619047619,Application
flume-release,218,13432.3333333333,308.1666666667,457.25,1472,47.0588235294,Software tools
hydra,101,4537.3333333333,339.7272727273,504.0909090909,602,47.0588235294,Software tools
java-object-diff,77.75,4719.6666666667,51.6060606061,71.9090909091,1175,46.6666666667,Non-web libraries and frameworks
mct,222.75,28149,425.358974359,631.5384615385,839,46.6666666667,Application
hibernate-search,82,6685.6666666667,149.0925925926,205.6388888889,2928,46.4285714286,Software tools
denominator,115.25,17707,97.2222222222,139.8333333333,1237,46.1538461538,Software tools
jackson-databind,280,7126.3333333333,95.8285714286,108.7428571429,1335,45.652173913,Non-web libraries and frameworks
DataflowJavaSDK,144.75,4910,115.3983739837,152.5975609756,249,45.4545454545,Software tools
HotswapAgent,85.5,164209.666666667,299.7916666667,445.6875,636,45.4545454545,Software tools
mule,166,28190.3333333333,455.4117647059,657.6176470588,3836,44.8275862069,Application
FML,213.25,121414.666666667,39.3782051282,33.0673076923,1138,44.8275862069,Application
autopsy,79.5,62219.3333333333,161.5512820513,229.3269230769,2516,44.7368421053,Application
marytts,139.25,36259,332.7254901961,490.5882352941,3480,44.6808510638,Non-web libraries and frameworks
mockito,507,5855,59.8928571429,61.8392857143,2826,44,Non-web libraries and frameworks
aws-sdk-android,49.25,81464.6666666667,3656.3333333333,5483,395,43.8679245283,Non-web libraries and frameworks
DSpace,185.75,29826,109.4715447154,123.2073170732,4848,43.6781609195,System Software
android-database-sqlcipher,225.75,3063.3333333333,28,36,1633,42.8571428571,Non-web libraries and frameworks
gerrit-trigger-plugin,119.25,46812.3333333333,33.7463768116,27.6195652174,1893,42.8571428571,Application
poi,56,58398.3333333333,#DIV/0!,#DIV/0!,4949,42.8251121076,Application
owlapi,65.25,59235.6666666667,885.4444444444,1323.6666666667,2408,42.7536231884,Non-web libraries and frameworks
fred,90.5,17977,151.8474576271,198.2711864407,3859,42.6470588235,Application
spring-webflow,61,226537,260.0303030303,384.5454545455,3163,42.1052631579,Software tools
lucene-solr,530,43362,1145.2266666667,1705.34,1983,41.8803418803,Non-web libraries and frameworks
platform_packages_apps_email,63,7032.3333333333,70.4022988506,91.1034482759,2403,40.4761904762,Non-web libraries and frameworks
spring-data-redis,124.25,45498.6666666667,121.9545454545,171.9318181818,1840,40,Non-web libraries and frameworks
Chronicle-Map,93,148602,189.2962962963,279.4444444444,397,40,Application
bndtools,68.25,15621.3333333333,111.7833333333,157.675,2380,40,Application
GeoGig,115,48178.6666666667,125.0833333333,173.625,1207,40,Application
material-dialogs,1135.5,1384,20.0185185185,12.0277777778,289,40,Non-web libraries and frameworks
sql2o,71,14270.3333333333,36.8333333333,47.25,1553,40,Non-web libraries and frameworks
weave,50,16413.6666666667,150.4444444444,222.6666666667,367,40,Software tools
SIREn,41.25,3529,669.8333333333,1003.75,168,40,Non-web libraries and frameworks
spring-data-solr,96.75,7505.3333333333,125.4545454545,182.6818181818,1184,40,Non-web libraries and frameworks
OpenGrok,220.5,2829.6666666667,62.623655914,78.435483871,3192,40,Software tools
gwt-maven-plugin,61.5,73630,23.649122807,25.9736842105,1704,40,Application
pentaho-platform,157.25,69649,161.2387387387,204.8581081081,1430,39.6946564885,Non-web libraries and frameworks
jetty.project,272,63730.3333333333,540.6,800.9,2349,39.603960396,Application
infinispan,211.25,67491.6666666667,265.4082397004,353.6123595506,2347,39.4088669951,Software tools
camunda-bpm-platform,109.5,33380.6666666667,327.9477124183,466.4215686275,1890,39.0977443609,Non-web libraries and frameworks
Mekanism,133.75,7152.6666666667,103.2816091954,125.9224137931,1077,38.4615384615,Application
workflow-plugin,184.5,835239,44.8080808081,50.7121212121,469,38.0952380952,Application
flink,310.25,13715.6666666667,125.7266666667,88.59,1710,37.6146788991,Non-web libraries and frameworks
google-http-java-client,78.75,25711.6666666667,149.625,220.4375,1538,37.5,Web libraries and frameworks
jbpm,287.25,137279.333333333,151.5322580645,196.2983870968,1793,37.5,Application
robovm,457.75,84113,2467.4166666667,3691.125,1846,37.3349339736,Software tools
nd4j,88.75,55357,254.4920634921,371.2380952381,356,37.3134328358,Non-web libraries and frameworks
fixflow,108,42565,579.5277777778,863.2916666667,538,36.3636363636,Software tools
closure-compiler,566.75,17067.6666666667,113.3233333333,69.985,2117,36.3636363636,Software tools
astyanax,357.75,6429,72.8733333333,84.31,1457,36.25,Web libraries and frameworks
spring-amqp,91.25,184440.333333333,70.4027777778,93.6041666667,1871,35.7142857143,Software tools
hadoop,583.75,38132.6666666667,790.6394557823,1161.4591836735,2285,35.3448275862,Software tools
openstack-java-sdk,93,14727,45.5833333333,52.375,1249,35,Non-web libraries and frameworks
rabbitmq-java-client,63,3554.6666666667,59.115942029,77.1739130435,2576,33.3333333333,Web libraries and frameworks
AndroidCaldavSyncAdapater,84,11690.6666666667,196.8333333333,292.25,297,33.3333333333,Non-web libraries and frameworks
UpdateChecker,159,1625,11.1111111111,6.1666666667,739,33.3333333333,Non-web libraries and frameworks
governator,153.25,1880.3333333333,59.4583333333,81.1875,1244,33.3333333333,Web libraries and frameworks
TestFX,66.25,15043.3333333333,41.7037037037,53.5555555556,752,33.3333333333,Non-web libraries and frameworks
androidclient,76,1577,97.7692307692,140.1538461538,1543,33.3333333333,Non-web libraries and frameworks
semantic-versioning,45,1751.3333333333,15.7450980392,15.1176470588,1683,33.3333333333,Software tools
infovore,38.5,3122.3333333333,313.6666666667,469.5,775,33.3333333333,Non-web libraries and frameworks
ehcache3,77.75,17379.6666666667,153.5,222.25,541,33.3333333333,Non-web libraries and frameworks
